label,z,x,y,cell_properties,cell_type
1,0.7186147186147186,50.48484848484848,791.2337662337662,"Lhx2-, HnF4a-",2
4,0.3986486486486486,85.55405405405405,324.9391891891892,"Lhx2-, HnF4a-",2
5,0.2111111111111111,96.05555555555556,421.4888888888889,"Lhx2-, HnF4a-",2
6,0.2025316455696202,117.77215189873418,381.3544303797468,"Lhx2-, HnF4a-",2
7,0.3111111111111111,149.0,655.3629629629629,"Lhx2-, HnF4a-",2
8,0.7331288343558282,154.84662576687117,525.9386503067485,"Lhx2-, HnF4a-",2
10,0.1530612244897959,197.7142857142857,619.8673469387755,"Lhx2+, HnF4a-",0
11,0.7722222222222223,202.7888888888889,676.1277777777777,"Lhx2+, HnF4a-",0
13,0.135593220338983,209.4915254237288,640.2033898305085,"Lhx2-, HnF4a-",2
14,0.2533333333333333,215.26,23.166666666666668,"Lhx2-, HnF4a-",2
15,0.7887323943661971,223.35211267605635,581.7042253521126,"Lhx2+, HnF4a-",0
16,0.1016949152542373,244.9322033898305,757.3050847457627,"Lhx2-, HnF4a-",2
17,0.1733333333333333,276.61333333333334,153.94666666666666,"Lhx2-, HnF4a-",2
18,0.7740963855421686,299.1475903614458,127.17469879518072,"Lhx2-, HnF4a-",2
20,0.8724696356275303,361.9595141700405,297.79352226720647,"Lhx2-, HnF4a-",2
21,0.38,384.335,603.175,"Lhx2-, HnF4a-",2
23,0.7738095238095238,448.2261904761905,616.297619047619,"Lhx2-, HnF4a-",2
24,0.8204697986577181,462.494966442953,543.7818791946308,"Lhx2-, HnF4a-",2
25,1.5255102040816326,2.076530612244898,534.2142857142857,"Lhx2-, HnF4a-",2
26,1.7123745819397993,1.6321070234113713,783.3612040133779,"Lhx2-, HnF4a-",2
27,0.5482456140350878,7.552631578947368,16.17982456140351,"Lhx2-, HnF4a-",2
29,1.1443148688046647,49.62390670553936,619.7478134110787,"Lhx2-, HnF4a-",2
30,1.5644983461962514,52.04740904079382,131.4928335170893,"Lhx2-, HnF4a-",2
31,1.1253132832080202,55.84461152882206,492.55889724310777,"Lhx2-, HnF4a-",2
32,0.760989010989011,66.71978021978022,756.6923076923077,"Lhx2-, HnF4a-",2
33,1.816011235955056,83.17696629213484,204.4578651685393,"Lhx2-, HnF4a-",2
34,1.0637755102040816,83.24234693877551,275.5051020408163,"Lhx2-, HnF4a+",1
35,0.6341463414634146,84.90243902439025,791.3449477351917,"Lhx2-, HnF4a-",2
36,0.8384146341463414,96.08231707317071,335.5091463414634,"Lhx2-, HnF4a-",2
37,1.636796949475691,96.67206863679696,691.300285986654,"Lhx2-, HnF4a-",2
38,1.6953125,103.48995535714286,630.8738839285714,"Lhx2-, HnF4a-",2
39,0.6385542168674698,109.9578313253012,24.59036144578313,"Lhx2-, HnF4a-",2
41,1.7099415204678363,122.67017543859647,288.0678362573099,"Lhx2-, HnF4a-",2
42,1.8577728776185225,135.64167585446526,771.4366041896361,"Lhx2-, HnF4a-",2
43,2.366427840327533,144.021494370522,273.3193449334698,"Lhx2+, HnF4a-",0
44,1.692793931731985,148.27433628318585,458.9456384323641,"Lhx2-, HnF4a-",2
45,1.3159609120521172,153.33876221498372,423.3175895765472,"Lhx2-, HnF4a-",2
46,1.5835543766578248,171.8448275862069,722.7148541114059,"Lhx2-, HnF4a-",2
47,1.422037422037422,183.84823284823284,255.2598752598753,"Lhx2-, HnF4a-",2
48,0.6293103448275862,203.1206896551724,64.54310344827586,"Lhx2-, HnF4a+",1
49,1.7514450867052025,211.91907514450867,738.9980732177264,"Lhx2-, HnF4a-",2
50,1.4683377308707124,212.56200527704485,538.9366754617414,"Lhx2-, HnF4a-",2
51,1.2669683257918551,225.1342383107089,755.972850678733,"Lhx2-, HnF4a-",2
52,1.5644391408114555,227.41885441527447,458.2398568019093,"Lhx2-, HnF4a-",2
53,0.3805309734513274,250.75221238938053,373.92035398230087,"Lhx2+, HnF4a-",0
54,1.952182952182952,262.95010395010394,289.8742203742204,"Lhx2-, HnF4a-",2
55,1.4694736842105265,271.85473684210524,60.25473684210527,"Lhx2-, HnF4a-",2
56,0.6549707602339181,279.140350877193,783.6842105263158,"Lhx2+, HnF4a-",0
57,0.3918918918918919,286.18243243243245,548.2162162162163,"Lhx2-, HnF4a-",2
58,1.6960276338514682,306.7754749568221,483.6148531951641,"Lhx2-, HnF4a-",2
59,0.4100719424460431,311.2589928057554,709.3597122302158,"Lhx2-, HnF4a-",2
60,1.6530172413793105,310.3728448275862,776.2931034482758,"Lhx2-, HnF4a-",2
61,1.13125,315.56666666666666,160.26458333333332,"Lhx2-, HnF4a-",2
62,1.1794871794871795,340.6098901098901,231.6849816849817,"Lhx2-, HnF4a-",2
63,0.6801801801801802,373.981981981982,262.94144144144144,"Lhx2-, HnF4a-",2
64,1.967935871743487,372.9148296593186,720.7394789579158,"Lhx2-, HnF4a-",2
65,2.4259381171823566,376.8242264647795,213.78801843317973,"Lhx2-, HnF4a-",2
66,1.3060897435897436,383.46153846153845,627.400641025641,"Lhx2-, HnF4a-",2
67,1.3748344370860928,392.482119205298,647.4079470198676,"Lhx2-, HnF4a-",2
68,1.4912280701754386,400.6236044657097,380.7384370015949,"Lhx2-, HnF4a-",2
69,0.5971223021582733,412.2805755395684,457.3597122302159,"Lhx2+, HnF4a-",0
70,1.8580750407830344,412.2202283849919,534.7993474714518,"Lhx2+, HnF4a-",0
71,1.627027027027027,420.3702702702703,776.2824324324324,"Lhx2-, HnF4a-",2
72,1.0833333333333333,441.4381720430108,277.5349462365592,"Lhx2-, HnF4a-",2
73,1.1485148514851484,444.3247524752475,642.7405940594059,"Lhx2-, HnF4a-",2
74,1.4374009508716323,452.8589540412044,731.1378763866878,"Lhx2-, HnF4a-",2
75,1.5326231691078562,481.2130492676432,680.2436750998669,"Lhx2-, HnF4a-",2
76,2.1449511400651464,496.4885993485342,508.8811074918567,"Lhx2-, HnF4a-",2
77,2.0198237885462555,496.1321585903084,578.1233480176212,"Lhx2-, HnF4a-",2
79,3.039087947882736,1.1140065146579805,244.4169381107492,"Lhx2-, HnF4a-",2
80,2.9918330308529946,3.4827586206896552,377.3348457350272,"Lhx2-, HnF4a-",2
81,1.826136363636364,11.80568181818182,41.64431818181818,"Lhx2-, HnF4a-",2
82,2.656498673740053,35.81167108753316,196.74867374005305,"Lhx2-, HnF4a-",2
83,1.742382271468144,43.73868882733149,639.4404432132964,"Lhx2-, HnF4a+",1
84,1.6774628879892035,48.59244264507422,685.719298245614,"Lhx2-, HnF4a-",2
85,2.4583723105706268,44.59962581852199,430.8063610851263,"Lhx2-, HnF4a-",2
86,2.291806958473625,47.48709315375982,516.2861952861953,"Lhx2-, HnF4a-",2
89,1.4761904761904765,61.32142857142857,785.8095238095239,"Lhx2+, HnF4a-",0
90,2.846960167714885,96.36617749825297,468.9832285115304,"Lhx2-, HnF4a-",2
91,1.7155797101449275,104.95471014492752,195.1123188405797,"Lhx2-, HnF4a-",2
93,2.580693815987934,107.52488687782804,796.4027149321267,"Lhx2-, HnF4a-",2
94,1.0909090909090908,107.0855614973262,444.8074866310161,"Lhx2-, HnF4a-",2
